,name,year,country,type,quote,star_num
199,哪吒闹海,1979,中国大陆,冒险 动画 奇幻,想你时你在闹海。,8.9
200,再次出发之纽约遇见你,2013,美国,喜剧 爱情 音乐,爱我就给我看你的播放列表。,8.5
201,小萝莉的猴神大叔,2015,印度,剧情 喜剧 动作,None,8.5
202,东京物语,1953,日本,剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2
203,黑客帝国3：矩阵革命,2003,美国,动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.5
204,源代码,2011,美国,科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.3
205,新龙门客栈,1992,香港,剧情 动作 武侠 古装,嬉笑怒骂，调风动月。,8.5
206,终结者2：审判日,1991,美国,动作 科幻,少见的超越首部的续集，动作片中的经典。,8.6
207,末路狂花,1991,美国,犯罪 剧情 惊悚,没有了退路，只好飞向自由。,8.7
208,碧海蓝天,1988,法国,剧情 爱情,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.7
209,秒速5厘米,2007,日本,动画 剧情 爱情,青春就是放弃和怀念。,8.3
210,绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑,天使暂时离开。,8.7
211,这个男人来自地球,2007,美国,剧情 科幻,科幻真正的魅力不是视觉效果能取代的。 ,8.5
212,勇闯夺命岛,1996,美国,动作 冒险,类型片的极致。 ,8.6
213,海盗电台,2009,英国,剧情 喜剧 音乐,生命不止，摇滚不死。,8.6
214,城市之光,1931,美国,喜剧 剧情 爱情,永远的小人物，伟大的卓别林。,9.2
215,初恋这件小事,2010,泰国,剧情 喜剧 爱情,黑小鸭速效美白记。,8.3
216,步履不停,2008,日本,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8
217,无耻混蛋,2009,美国,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,8.4
218,卡萨布兰卡,1942,美国,剧情 爱情 战争,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,8.6
219,变脸,1997,美国,动作 科幻 犯罪 惊悚,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4
220,爱在午夜降临前,2013,美国,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8
221,E.T. 外星人,1982,美国,剧情 科幻,生病的E.T.皮肤的颜色就像柿子饼。,8.5
222,无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。,8.6
223,发条橙,1971,英国,犯罪 剧情 科幻,我完全康复了。,8.5
224,疯狂的石头,2006,中国大陆,喜剧 犯罪,中国版《两杆大烟枪》。,8.3
225,黄金三镖客,1966,意大利,冒险 西部,最棒的西部片。,9.1
226,海街日记,2015,日本,剧情 家庭,None,8.7
227,美国丽人,1999,美国,剧情 爱情 家庭,每个人的内心都是深不可测的大海。 ,8.5
228,荒野生存,2007,美国,冒险 传记 剧情,出门必备：本草纲目。,8.6
229,迁徙的鸟,2001,法国,纪录片,最美的飞翔。,9.1
230,英国病人,1996,美国,爱情 剧情 战争,"In memory, love lives forever...",8.5
231,彗星来的那一夜,2013,美国,科幻 悬疑 惊悚,小成本大魅力。,8.4
232,国王的演讲,2010,英国,剧情 传记 历史,皇上无话儿。,8.3
233,血钻,2006,美国,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。,8.5
234,非常嫌疑犯,1995,德国,剧情 犯罪 悬疑 惊悚,我不信仰上帝，但我敬畏上帝。,8.6
235,聚焦,2015,美国,剧情 传记,None,8.8
236,燕尾蝶,1996,日本,犯罪 剧情,现实与童话交相辉映的旅程。,8.6
237,勇士,2011,美国,剧情 运动 家庭,热血沸腾，相当完美的娱乐拳击大餐。,8.9
238,叫我第一名,2008,美国,剧情 传记,乐观比一切都有力量。,8.6
239,穆赫兰道,2001,法国,剧情 悬疑 惊悚,大卫·林奇的梦境迷宫。,8.3
240,遗愿清单,2007,美国,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。,8.5
241,枪火,1999,香港,剧情 动作 犯罪,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,8.6
242,我爱你,2011,韩国,剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0
243,黑鹰坠落,2001,美国,动作 历史 战争,还原真实而残酷的战争。,8.6
244,上帝也疯狂,1980,博茨瓦纳,喜剧,纯净原始的笑与感动。,8.6
245,荒岛余生,2000,美国,冒险 剧情,一个人的独角戏。,8.5
246,大卫·戈尔的一生,2003,美国,剧情 犯罪 悬疑,捍卫人权只是信仰，一点不妨碍其行为的残忍。,8.6
247,千钧一发,1997,美国,剧情 科幻 惊悚,一部能引人思考的科幻励志片。,8.7
248,2001太空漫游,1968,英国,科幻 惊悚 冒险,现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.7
249,蓝色大门,2002,台湾,剧情 爱情 同性,青春的窃窃私语。 ,8.3
